Software,ShopID,WCAID,WSID,name,Latitude,Longitude,"100,773",printed on card,Name,Address,City,St,Zip
Protractor,?,,1016,AG Automotive,45.5611423,-122.5341154,"1,255","AG Automotive
12410 NE Whitaker Way
Portland, OR 97230",AG Automotive,12410 NE Whitaker Way,Portland,OR,97230
Shop-Ware,4200,,1022,ZahnTech Automotive,47.6816575,-122.1372855,"1,803","ZahnTech Automotive
15215 NE 90th St
Redmond, WA 98052",ZahnTech Automotive,15215 NE 90th St,Redmond,WA,98052
Tekmetric,4120,,1049,TOS Auto Repair,38.6741417,-121.3259229,"2,808","TOS Auto Repair
5916 Auburn Blvd
Citrus Heights, CA 95621",TOS Auto Repair,5916 Auburn Blvd,Citrus Heights,CA,95621
Tekmetric,2305,,1042,Obsidian Motors and Repair,33.9250552,-118.0250621,any amount,"Obsidian Motors And Repair
11711 Colima Rd
Whittier, CA 90604",Obsidian Motors And Repair,11711 Colima Rd,Whittier,CA,90604
Tekmetric,3472,101,1026,California Autohaus,33.0486378,-117.283807,"1,512","California Autohaus
386 Encinitas Blvd
Encinitas, CA 92024",California Autohaus,386 Encinitas Blvd,Encinitas,CA,92024
Tekmetric,4743,,1054,Complete Car Care Encinitas,33.0541919,-117.2621478,"8,247","Complete Car Care Encinitas
318 A North El Camino Real
Encinitas, CA 92024",Complete Car Care Encinitas,318 A North El Camino Real,Encinitas,CA,92024
Tekmetric,1552,101,1024,Aero Auto Repair,33.2151273,-117.2563977,"1,834","Aero Auto Repair Vista
1215 N Melrose Dr A
Vista, CA 92083",Aero Auto Repair Vista,1215 N Melrose Dr A,Vista,CA,92083
Tekmetric,1159,101,1023,Aero Auto Repair,32.8089768,-117.1195589,"4,688","Aero Auto Repair
9756 Aero Dr.
San Diego, CA 92123",Aero Auto Repair,9756 Aero Dr.,San Diego,CA,92123
Tekmetric,3028,101,1025,Aero Auto Repair San Carlos,32.8043959,-117.0086281,"4,023","Aero Auto Repair San Carlos
8865 Lake Murray Blvd
San Diego, CA 92119",Aero Auto Repair San Carlos,8865 Lake Murray Blvd,San Diego,CA,92119
Protractor-M1,?,,1018,Highline Car Care,33.3747303,-111.8106621,"2,490","Highline Car Care
1372 N Marvin St
Gilbert, AZ 85233",Highline Car Care,1372 N Marvin St,Gilbert,AZ,85233
Tekmetric,2442,,1043,John's Auto Care,40.0180354,-105.2245107,"1,268","John's Auto Care
1900 55th St. #104
Boulder, CO 80301",John's Auto Care,1900 55th St. #104,Boulder,CO,80301
Tekmetric,3586,,1048,Alternative Auto Care,39.9158768,-104.9861481,"1,644","Alternative Auto Care
12111 Grant Street
Thornton, CO 80241",Alternative Auto Care,12111 Grant Street,Thornton,CO,80241
Tekmetric,3385,,1046,Titan Auto Tech,39.3832097,-104.8642857,616,"Titan Auto Tech
1375 Caprice Dr. 
Castle Rock, CO 80109",Titan Auto Tech,1375 Caprice Dr.,Castle Rock,CO,80109
Tekmetric,3543,104,1034,Matt's Automotive & Collision Center Collision,46.8020511,-96.8889566,930,"Matt's Automotive & Collision Center
6108 53rd Ave 
S Fargo, ND 58104",Matt's Automotive & Collision Center,6108 53rd Ave,S Fargo,ND,58104
Tekmetric,3540,104,1031,Matt's Automotive Service Center Fargo,46.8636163,-96.8561951,"3,062","Matt's Automotive Service Center 
1150 43 1/2 St S 
Fargo, ND 58103
",Matt's Automotive Service Center,1150 43 1/2 St S,Fargo,ND,58103
Tekmetric,3542,104,1033,Matt's Automotive Service Center S Fago,46.8334495,-96.8065636,"1,583","Matt's Automotive Service Center
1617 32nd Avenue S
Fargo, ND 58103",Matt's Automotive Service Center,1617 32nd Avenue S,Fargo,ND,58103
