WSID,Software,Shop Name,,total 48mo,contract,delta 10/15,,,total 48mo,,Bday Months,,,,,,,,,,,,,Tday months,,,,,,,,,,,
,,,,customers,customers,customers,Total Tday,Total BDay,customers,Total BDay,1,2,3,4,5,6,7,8,9,10,11,12,Total Tday,1,2,3,4,5,6,7,8,9,10,11,12
,,"1,604",,"108,448","103,616","-7,634 +15,413","16,153","97,463","108,448","97,463","9,327","7,425","8,162","7,755","7,995","8,503","8,382","8,315","8,316","8,039","7,589","7,655","16,153",711,"1,982","1,245","1,615","1,390",982,"1,055","1,129","1,103","1,356","1,811","1,709"
1001,mit,Advantage Auto Service,1001,920,"1,189",-269,93,827,920,827,62,67,61,69,93,78,69,72,55,68,71,62,93,12,7,13,5,0,0,5,2,28,6,3,12
1002,mit,Auto Service Specialists,1002,"1,254","1,484",-230,86,"1,168","1,254","1,168",97,77,103,82,95,117,120,106,107,90,102,72,86,2,22,0,17,4,0,0,0,0,9,0,32
1003,mit,Custom Automotive Care,1003,284,578,-294,21,263,284,263,20,23,34,26,12,20,28,16,23,14,25,22,21,0,0,0,0,11,0,0,4,0,6,0,0
1004,mit,Grand Garage,1004,"1,042","1,156",-114,149,893,"1,042",893,72,81,74,78,67,91,69,89,72,71,69,60,149,14,5,12,8,19,0,17,0,14,15,17,28
1005,mit,Havasu Auto Care,1005,584,927,-343,128,456,584,456,54,38,45,29,41,42,36,38,29,44,30,30,128,0,10,3,21,7,6,12,10,19,4,18,18
1006,mit,Jenkins Auto Repair,1006,897,"1,364",-467,86,811,897,811,71,66,68,62,70,63,73,84,59,66,64,65,86,2,7,5,11,3,10,0,0,24,7,9,8
1007,mit,Olmsted Auto Care,1007,"2,049","2,138",-89,132,"1,917","2,049","1,917",157,150,130,149,167,196,169,164,160,164,140,171,132,11,18,39,19,1,0,0,4,8,4,28,0
1008,mit,Quality Auto Repair,1008,944,"1,713",-769,77,867,944,867,86,68,67,76,68,65,77,74,75,65,75,71,77,0,10,11,2,10,13,1,4,3,13,3,7
1009,nap,Hal's Auto Care,1009,"1,558","1,996",-438,247,"1,311","1,558","1,311",102,93,122,118,127,100,112,96,113,113,114,101,247,27,46,7,11,2,29,17,33,16,16,15,28
1010,nap,Steger Service,1010,"1,751","1,844",-93,144,"1,607","1,751","1,607",133,116,139,115,109,161,144,140,137,152,124,137,144,10,27,4,28,41,0,0,3,6,0,19,6
1011,nap,Velocity Tire & Auto,1011,"1,164","1,385",-221,96,"1,068","1,164","1,068",179,75,74,70,75,106,86,78,88,85,79,73,96,0,12,13,25,12,0,1,9,0,2,8,14
1012,nap,Bryan's Service,1012,416,524,-108,37,379,416,379,35,32,38,25,32,36,44,29,30,27,24,27,37,0,0,0,7,0,0,0,3,2,5,15,H
1013,pro,B&L Whitehouse Auto Service,1013,"2,125","1,658",467,126,"1,999","2,125","1,999",187,178,177,153,159,147,188,194,174,157,169,116,126,0,0,0,18,12,24,0,0,0,14,2,56
1014,pro,Toledo Auto Care,1014,"2,807","2,815",-8,138,"2,669","2,807","2,669",239,189,227,214,202,238,212,234,259,226,227,202,138,0,45,2,15,27,0,17,0,0,3,2,27
1015,pro,Toledo Auto Care - Monroe,1015,"3,118","2,204",914,356,"2,762","3,118","2,762",253,226,234,213,242,241,282,239,231,243,187,171,356,4,31,23,44,15,16,0,18,26,14,70,95
1016,pro,AG Automotive,1016,"1,496","1,113",383,207,"1,289","1,496","1,289",103,114,104,98,110,112,109,95,106,97,88,153,207,19,8,18,24,12,10,13,27,16,25,35,0
