shop,WSID,newContractMax/yr,newMonthlyAvg,adjustOct,6¢ extraPostage,maxOct
name,,"90,324","16,342","-6,351","-2,164","7,833"
Advantage Auto Service,1001,"1,194",199,4,24,179
Auto Service Specialists,1002,"1,489",248,-12,30,206
Custom Automotive Care,1003,580,97,-12,12,73
Grand Garage,1004,"1,162",194,-2,23,169
Havasu Auto Care,1005,927,154,50,16,189
Jenkins Auto Repair,1006,"1,364",227,-67,31,129
Olmsted Auto Care,1007,"2,143",357,-4,43,310
Quality Auto Repair,1008,"1,718",286,47,32,301
Hal's Auto Care,1009,"1,992",332,100,34,398
Steger Service,1010,"1,846",308,-1,37,270
Velocity Tire & Auto,1011,"1,383",230,51,25,257
Bryan's Service,1012,526,88,-7,11,70
B&L Whitehouse Auto Service,1013,"1,661",277,-175,44,58
Toledo Auto Care,1014,"2,814",469,-36,58,375
Toledo Auto Care - Monroe,1015,"2,199",366,-247,59,61
AG Automotive,1016,"1,118",186,-296,40,-150
Sours Automotive,1017,"1,654",276,-39,35,201
Highline Car Care,1018,"2,218",370,-248,59,63
West St. Service Center,1019,"1,480",247,-56,33,158
Absolute Auto Repair Center - Shirley 2955,1020,"1,360",227,-72,32,124
Absolute Auto Repair Center - Fitchburg 2954,1021,"4,713",785,-224,108,454
ZahnTech Automotive,1022,"1,606",268,-328,52,-112
Aero Auto Repair,1023,"4,177",696,-510,114,72
Aero Auto Repair,1024,"1,634",272,-203,45,24
Aero Auto Repair San Carlos,1025,"3,584",597,-304,90,203
California Autohaus,1026,"1,347",225,-101,33,91
O'Bryan Auto Repair,1027,"1,626",271,-121,40,110
O'Bryan Auto Repair - Pitt,1028,"1,135",189,-143,31,15
Matt's Automotive Service Center Pine City,1029,"1,528",255,4,30,229
Matt's Automotive Service Center NOMO,1030,"1,399",233,-114,35,85
Matt's Automotive Service Center Fargo,1031,"2,728",455,-218,68,169
Matt's Automotive Service Center SOMO,1032,"1,186",198,-107,30,61
Matt's Automotive Service Center S Fago,1033,"1,410",235,-68,32,135
Matt's Automotive & Collision Center Collision,1034,829,138,-59,20,59
Matt's Automotive Service Center Bloomington,1035,"3,365",561,-115,74,371
Matt's Automotive Service Center Columbia Heights,1036,308,51,-31,8,12
Matt's Automotive Service Center Willmar,1037,"1,247",208,-17,26,165
Matt's Automotive Service Center North Branch,1038,852,142,-94,23,25
Doc Motor Works inc.,1039,"2,606",434,-298,70,66
Geneva Foreign & Sports,1040,"2,996",499,-279,77,143
Advanced Automotive Performance,1041,"1,423",237,-154,38,46
Obsidian Motors and Repair,1042,60,6,-2,1,10
John's Auto Care,1043,"1,130",188,-43,25,120
Bennett's Automotive,1044,"3,336",556,-122,74,360
Sneller Tire Auto & Diesel Repair,1045,"2,858",476,29,55,450
Titan Auto Tech,1046,549,91,49,8,132
Off Campus Auto Repair LLC,1047,"1,132",189,-426,48,-285
Alternative Auto Care,1048,"1,465",244,-108,36,101
TOS Auto Repair,1049,"2,502",417,-171,60,186
Elysian Auto Service,1050,895,149,-62,22,66
East Rock Auto Repair,1051,"1,554",259,-230,45,-16
Safeway Oil Change & Automotive Services,1052,"2,341",390,-218,60,113
Epoch Automotive,1053,377,63,-31,9,22
Complete Car Care Encinitas,1054,"7,353","1,225",-512,,713
